sku,p_sku,p_name
23125,Config107,Malibu 22 MXZ - 2014
23126,Config106,Malibu 21 VLX- 2014
23127,Config106,Malibu 21 VLX- 2014
23128,Config106,Malibu 21 VLX- 2014
23129,Config109,Malibu 23 LSV - 2005
23130,Config109,Malibu 23 LSV - 2005
23131,Config109,Malibu 23 LSV - 2005
23132,Config123,Malibu Wakesetter- 2006
23133,Config123,Malibu Wakesetter- 2006
23134,Config123,Malibu Wakesetter- 2006
23135,Config124,Malibu Wakesetter VLX
23136,Config124,Malibu Wakesetter VLX
23137,Config124,Malibu Wakesetter VLX
23142,Config7,Malibu 22 MXE - 2013
23143,Config7,Malibu 22 MXE - 2013
23145,Config13,Moomba - 1pc - 66 3/8 x 24 5/16
23146,Config13,Moomba - 1pc - 66 3/8 x 24 5/16
23147,Config122,Malibu Sunsetter LXI
23148,Config122,Malibu Sunsetter LXI
23149,Config122,Malibu Sunsetter LXI
23150,Config14,Moomba - 1pc - 68 5/8 x 25
23154,Config125,MasterCraft 190
23155,Config125,MasterCraft 190
23156,Config125,MasterCraft 190
23157,Config126,MasterCraft 197 Prostar
23158,Config126,MasterCraft 197 Prostar
23159,Config126,MasterCraft 197 Prostar
23160,Config127,MasterCraft 205
23161,Config127,MasterCraft 205
23162,Config127,MasterCraft 205
23172,Config1,"""MasterCraft 245, X30 & X2"""
23173,Config128,MasterCraft 255
23174,Config128,MasterCraft 255
23175,Config128,MasterCraft 255
23176,Config130,MasterCraft Mari Star Sport
23177,Config130,MasterCraft Mari Star Sport
23178,Config130,MasterCraft Mari Star Sport
23180,Config16,Regal 2900 LSR
23190,Config12,MasterCraft X-STAR
23191,Config12,MasterCraft X-STAR
23192,Config137,MasterCraft X-STAR 2000
23193,Config137,MasterCraft X-STAR 2000
23194,Config137,MasterCraft X-STAR 2000
23195,Config139,MasterCraft X-STAR 2005-2006
23196,Config139,MasterCraft X-STAR 2005-2006
23197,Config139,MasterCraft X-STAR 2005-2006
23198,Config140,MasterCraft X-STAR 2007
23199,Config140,MasterCraft X-STAR 2007
23200,Config140,MasterCraft X-STAR 2007
23201,Config136,MasterCraft X-46 2014
23202,Config136,MasterCraft X-46 2014
23203,Config136,MasterCraft X-46 2014
23204,Config142,MasterCraft X-Star 2014
23205,Config142,MasterCraft X-Star 2014
23206,Config142,MasterCraft X-Star 2014
23207,Config135,MasterCraft X-45 2006
23208,Config135,MasterCraft X-45 2006
23209,Config135,MasterCraft X-45 2006
23210,Config8,MasterCraft 190 Pro Star - 1994
23211,Config8,MasterCraft 190 Pro Star - 1994
23213,Config134,MasterCraft X-35 - 2008
23214,Config134,MasterCraft X-35 - 2008
